uid,name,shib_role,shib_title,orcid,college,department,nc_state_affiliations,works_count,open_access_works_count,sdg_work_count_by_wos_1,sdg_work_count_by_wos_2,sdg_work_count_by_wos_3,sdg_work_count_by_wos_4,sdg_work_count_by_wos_5,sdg_work_count_by_wos_6,sdg_work_count_by_wos_7,sdg_work_count_by_wos_8,sdg_work_count_by_wos_9,sdg_work_count_by_wos_10,sdg_work_count_by_wos_11,sdg_work_count_by_wos_12,sdg_work_count_by_wos_13,sdg_work_count_by_wos_14,sdg_work_count_by_wos_15,sdg_work_count_by_wos_16,sdg_work_count_by_wos_17
pndarma,Panji Darma,faculty,Asst Research Professor,,College of Engineering,"Civil, Construction and Environmental Engineering","Civil, Construction and Environmental Engineering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cchen32,Crystal Lee,faculty,Assoc Professor,https://orcid.org/0000-0002-9110-2170,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences,20,3,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0
gkwatkin,Greg Watkins,faculty,Teaching Professor,,College of Engineering,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ttilfor,Terri Tilford,faculty,Asst Teaching Professor,,College of Education,"Educational Leadership, Policy, and Human Development","Educational Leadership, Policy, and Human Development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dlhemphi,Destiny Hemphill,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jturner9,Jen Turner,faculty,Asst Teaching Professor,https://orcid.org/0000-0003-3080-0749,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hmjohns6,Heather Dretsch,faculty,Asst Professor,https://orcid.org/0000-0003-2266-9832,Poole College of Management,"Management, Innovation and Entrepreneurship","Management, Innovation and Entrepreneurship",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ckoch,Christian Koch,faculty,Lecturer,,Poole College of Management,Finance,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jikagend,Joy Kagendo,faculty,Dr Joy Kagendo,https://orcid.org/0009-0001-4770-7148,NC State Administration and Offices,Physical Education,Physical Education; Global One Health Academy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kameikle,Kelly Meiklejohn,faculty,Assoc Professor,https://orcid.org/0000-0001-6125-2963,College of Veterinary Medicine,Population Health and Pathobiology,Population Health and Pathobiology; Population Health and Pathobiology; Genetics and Genomics Academy; Population Health and Pathobiology; Forensic Sciences,45,30,0,0,11,0,0,0,0,0,0,0,0,0,0,2,5,1,0
nduquew,Natalia Duque-Wilckens,faculty,Asst Professor,https://orcid.org/0000-0003-3700-2600,College of Sciences,Biological Sciences,Toxicology Programs; Biological Sciences; Center for Human Health and the Environment ; Genetics and Genomics Academy; Global One Health Academy; Comparative Medicine Institute,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eozlu,Ekrem Ozlu,faculty,Asst Professor,https://orcid.org/0000-0003-1225-3243,College of Agriculture and Life Sciences,Crop and Soil Sciences,Crop and Soil Sciences; Coastal Resilience and Sustainability Initiative,42,10,0,5,0,0,0,0,1,0,0,0,0,0,5,4,3,0,0
jlfulks,Jessica Singleton,faculty,Asst Teaching Professor,https://orcid.org/0009-0002-5490-9482,Wilson College of Textiles,"Textile and Apparel, Technology and Management","Textile and Apparel, Technology and Management",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wjmille3,Jason Miller,faculty,Distinguished Professor,https://orcid.org/0009-0000-4412-8899,College of Humanities and Social Sciences,English,English,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ssmody,Sujata Mody,faculty,Assoc Professor,https://orcid.org/0000-0002-0162-6553,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcmorant,Tamah Morant,faculty,"Assoc/Asst Dean, Undrgrad Prog",,University College,University College Administration,Poole College of Management Administration; Economics,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hpmarcha,Hernan Marchant Montenegro,faculty,Professor,,College of Design,"Media Arts, Design and Technology","Media Arts, Design and Technology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itmessih,Inas Messiha,faculty,Assoc Teaching Professor,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jkmillha,John Millhauser,faculty,Assoc Professor,https://orcid.org/0000-0002-7576-932X,College of Humanities and Social Sciences,Sociology and Anthropology,Sociology and Anthropology,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rdmahone,Richard Mahoney,faculty,Professor,,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmartin3,Florence Martin,faculty,Professor,https://orcid.org/0000-0002-6055-5636,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences; Secure Computing Institute,387,42,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
imali,Ivana Mali,faculty,Assoc Professor,https://orcid.org/0000-0001-8673-1442,College of Natural Resources,Forestry and Environmental Resources,Forestry and Environmental Resources,38,17,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,0,0
egmedlin,Emily Martin,faculty,Asst Clinical Professor,https://orcid.org/0000-0003-3139-0315,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,13,8,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smankad,Shawn Mankad,faculty,Assoc Professor,https://orcid.org/0000-0001-7945-8556,Poole College of Management,"Information Technology, Analytics, & Operations","Information Technology, Analytics, & Operations",24,7,2,0,2,0,0,0,0,3,1,2,0,1,0,0,0,0,0
smirbag,Samira Mirbagher Ajorpaz,faculty,Asst Professor,https://orcid.org/0009-0008-4997-5980,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering; Secure Computing Institute,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kemccool,Katie McCool,faculty,Asst Professor,https://orcid.org/0000-0001-8588-8296,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,8,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
amitra2,Aritra Mitra,faculty,Asst Professor,https://orcid.org/0009-0004-4590-553X,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smmcleod,Sterling Mcleod,faculty,Asst Teaching Professor,,College of Engineering,Computer Science,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmonroe,Settle Monroe,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
