"source","target","weight","cross_college","papers"
"rcollaz","sitar","8","False","Spectroscopic analysis of the epitaxial CaO (111)–GaN (0002) interface|Epitaxial Ba0.5Sr0.5TiO3–GaN heterostructures with abrupt interfaces|Different optical absorption edges in AlN bulk crystals grown in m- an"
"stefansk","vpaneja","2","False","Characterizing Ammonia Emissions from Swine Farms in Eastern North Car|Characterizing Ammonia Emissions from Swine Farms in Eastern North Car"
"fawrigh2","jytzeng","1","False","Genomewide association for schizophrenia in the CATIE study: results o"
"narayan","rjnaraya","1","False","Growth of biepitaxial zinc oxide thin films on silicon (100) using ytt"
"cmroland","sagui","2","False","Amino Acid Adsorption on the Si(100) Surface:  The Case of Glycine|Adaptively biased molecular dynamics for free energy calculations"
"jslindse","mtanigu","4","False","Comparison of Electron-Transfer Rates for Metal- versus Ring-Centered |Accessing the near-infrared spectral region with stable, synthetic, wa|Determination of Ground-State Hole-Transfer Rates Between Equivalent S"
"bdhansen","bwkeene","1","False","Supraventricular tachycardia in dogs: 65 cases (1990–2007)"
"bdhansen","tdefranc","1","False","Supraventricular tachycardia in dogs: 65 cases (1990–2007)"
"bwkeene","tdefranc","1","False","Supraventricular tachycardia in dogs: 65 cases (1990–2007)"
"ebbreits","rgmaggi","11","False","Detection ofBartonella henselaein the Blood of 2 Adult Horses|Bartonella-Associated Meningoradiculoneuritis and Dermatitis or Pannic|Bartonella sp. Bacteremia in Patients with Neurological and Neurocogni"
"atbliksl","tghashg","1","False","ClC-2 is required for rapid restoration of epithelial tight junctions "
"eooviedo","jgrimes","3","False","Organic trace minerals and 25-hydroxycholecalciferol affect performanc|Effects of Incubator Temperature and Oxygen Concentration During the P|Effects of a Direct-Fed Microbial (Primalac) on Turkey Poult Performan"
"eooviedo","pferket","1","False","Organic trace minerals and 25-hydroxycholecalciferol affect performanc"
"jgrimes","pferket","1","False","Organic trace minerals and 25-hydroxycholecalciferol affect performanc"
"ahk","iakogan","1","True","Classification of Curves in 2D and 3D via Affine Integral Signatures"
"emzechma","gmkumar","3","False","A genetic algorithm-based procedure for 3D source identification at th|Adaptive Contamination Source Identification in Water Distribution Sys|Addressing Non-uniqueness in a Water Distribution Contaminant Source I"
"emzechma","ranji","3","False","A genetic algorithm-based procedure for 3D source identification at th|Adaptive Contamination Source Identification in Water Distribution Sys|Addressing Non-uniqueness in a Water Distribution Contaminant Source I"
"gmkumar","ranji","5","False","A genetic algorithm-based procedure for 3D source identification at th|Adaptive Contamination Source Identification in Water Distribution Sys|Addressing Non-uniqueness in a Water Distribution Contaminant Source I"
"paulf","wdavis","2","False","An 8192-point fast fourier transform 3D-IC case study|Design and CAD for 3D integrated circuits"
"jayoder","swkullma","1","False","Aquatic animal models of human disease: Selected papers and recommenda"
"hawest","oaharrys","2","False","Properties of Ti–6Al–4V non-stochastic lattice structures fabricated v|Applications of structural optimization in direct metal fabrication"
"jodle","xilin","6","False","Effects of feeding l-carnitine to gilts through day 70 of gestation on|Enrichment of Intestinal Mucosal Phospholipids with Arachidonic and Ei|Transplacental induction of fatty acid oxidation in newborn pigs by cl"
"coby","ekyoungs","3","False","Characterization of 8 polymorphic microsatellite loci in the neotropic|Seed odor mediates an obligate ant-plant mutualism in Amazonian rainfo|Polymorphic microsatellite loci for the ant-garden ant, Crematogaster "
"bernholc","wlu2","6","False","Hybrid ab initio Kohn-Sham density functional theory/frozen-density or|Effects of end group functionalization and level alignment on electron|Recent developments and applications of the real-space multigrid metho"
"coby","fgould","1","False","Fruit abscission by <i>Physalis</i> species as defense against frugivo"
"kito","rsmith","1","False","Adaptive techniques for the MRAC, adaptive parameter identification, a"
"atbliksl","jodle","2","True","Enrichment of Intestinal Mucosal Phospholipids with Arachidonic and Ei|Arginine Activates Intestinal p70S6k and Protein Synthesis in Piglet R"
"atbliksl","xilin","1","True","Enrichment of Intestinal Mucosal Phospholipids with Arachidonic and Ei"
"fbreid","hmhassan","1","False","Effects of pH, Dissolved Oxygen, and Ionic Strength on the Survival of"
"rdewey","rslewis","1","False","RNA interference (RNAi)‐induced suppression of nicotine demethylase ac"
"jmcasper","jnbocarr","2","False","School Physical Education, Extracurricular Sports, and Lifelong Active|Determinants of Sport Participation in Middle School Children and the "
"jmcasper","mkanters","1","False","School Physical Education, Extracurricular Sports, and Lifelong Active"
"jnbocarr","mkanters","1","False","School Physical Education, Extracurricular Sports, and Lifelong Active"
"fldelosr","jducoste","1","False","Monitoring Microbial Shifts during Activated Sludge Floc and Aerobic G"
"frey","rasdorf","3","False","Real-World In-Use Activity, Fuel Use, and Emissions for Nonroad Constr|Characterization of Real-World Activity, Fuel Use, and Emissions for S|Comparison of Real-World Emissions of B20 Biodiesel versus Petroleum D"
"hallen","sasha","3","True","Improved long-range prediction with data-aided noise reduction for ada|Reliable adaptive modulation and interference mitigation for mobile ra|Performance of adaptive coded modulation enabled by long-range fading "
"laramir2","mlardons","1","True","The dynamics of phosphorus retention during an eight-year P-addition i"
"atbliksl","dxlascel","1","False","Cyclooxygenase expression and prostanoid production in pyloric and duo"
