"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","5","76","#0072B2","False",""
"ycheng20","Alice Cheng","College of Humanities and Social Sciences","Communication","","False","4","74","#CC79A7","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","2","55","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","6","63","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","6","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","3","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","4","33","#009E73","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","4","37","#009E73","False",""
"jakamins","Jessica Kaminsky","College of Engineering","Civil, Construction and Environmental Engineering","","False","6","76","#0072B2","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","2","95","#9B59B6","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","4","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","22","196","#0072B2","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","7","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","8","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","4","52","#56B4E9","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","1","38","#E69F00","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","3","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","3","48","#0072B2","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","4","51","#E69F00","False",""
"alkwansa","Albert Kwansa","College of Engineering","Materials Science and Engineering","","False","2","21","#0072B2","False",""
